StaffID	Surname	First Name	PPS Number	Standard Hours	Hourly Rate	Overtime Rate	TaxCredit	StandardBand
123613	Laferriere	Pauline	9221327Z	8	13.69	17.797	70	700
123614	Pope	Daniel	3739968H	8	21.3	27.69	70	700
123615	Burwell	Maria	7866379M	8	23.86	31.018	70	700
123616	Carter	David	9246539M	8	26.49	34.437	70	700
123617	Jones	Adrienne	2053334X	8	13.6	17.68	70	700
123618	Catapano	Roger	1759139L	8	16.8	21.84	70	700
123619	Marks	Justin	5700683M	8	19.38	25.194	70	700
123620	Richards	John	3943125O	8	21.08	27.404	70	700
123621	Gilbert	Christopher	1393891W	8	17.9	23.27	70	700
123622	Colbeth	Dennis	4980380I	8	26.08	33.904	70	700
123623	Dini	Clarence	7668444H	8	23.77	30.901	70	700
123624	Chesley	Sharon	6384121O	8	18	23.4	70	700
123625	Marshall	Donald	6372044O	8	26.33	34.229	70	700
123626	Wells	Emmett	4991627A	8	12.22	15.886	70	700
123627	Thompson	Christoper	2884573V	8	19.62	25.506	70	700
123628	Nicholls	Mohammad	5066552D	8	29.82	38.766	70	700
123629	Macpherson	Kimberly	4200914O	8	23.77	30.901	70	700
123630	Bills	Martin	8971615Z	8	20.95	27.235	70	700
123631	Lovelady	Adam	7023410F	8	28.76	37.388	70	700
123632	Dillow	Jennifer	5906128Y	8	12.64	16.432	70	700
123633	Priesmeyer	Robert	8595998A	8	27.29	35.477	70	700
123634	Jackson	Vicente	9466829I	8	13.31	17.303	70	700
123635	Flanagan	Leola	8236893Q	8	15.82	20.566	70	700
123636	Acuna	Frank	2138740D	8	14.58	18.954	70	700
123637	Sims	Angel	5034536S	8	20.23	26.299	70	700
123638	Gist	Franklin	9233426N	8	27.83	36.179	70	700
123639	Cruz	Ricardo	4126254F	8	29.03	37.739	70	700
123640	King	Amber	8322431M	8	14.87	19.331	70	700
123641	Belcher	Donald	4459061D	8	13.23	17.199	70	700
123642	Lockridge	Phillip	8951066U	8	24.68	32.084	70	700
123643	George	Sharonda	4763291X	8	29.51	38.363	70	700
123644	Kellar	Lisa	6196989X	8	26.66	34.658	70	700
123645	Thornton	Jeffrey	9644838G	8	17.25	22.425	70	700
123646	Clark	Brian	8202367G	8	22.56	29.328	70	700
123647	Jackson	Erika	1008543L	8	26.38	34.294	70	700
123648	Shapiro	Susan	6733259L	8	27.21	35.373	70	700
123649	Pince	Federico	6350267Z	8	18.13	23.569	70	700
123650	Haubrich	Linda	2249511Q	8	18.02	23.426	70	700
123651	Villafana	Alvin	2750737L	8	16.54	21.502	70	700
123652	Faber	Robert	8191506I	8	27.22	35.386	70	700
123653	Bartholomew	John	2435621B	8	23	29.9	70	700
123654	Kimbrel	Dawn	6171911A	8	13.59	17.667	70	700
123655	Tanner	Maria	1072239X	8	13.51	17.563	70	700
123656	Mentgen	Trevor	8293430A	8	15.41	20.033	70	700
123657	Dietlin	Danika	1356034L	8	18.48	24.024	70	700
